model,task,fold,seed,status,active_rank,k,PU_rank,U_only_rank,P_only_rank,random_exact_rank,pass
EEGConformer,OpenBMI_MI,2,2,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_MI,3,0,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_MI,3,1,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_MI,3,2,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_MI,4,0,ESTIMABLE,20,3,3,3,3,True,True
EEGConformer,OpenBMI_MI,4,1,ESTIMABLE,20,6,6,6,6,True,True
EEGConformer,OpenBMI_MI,4,2,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_ERP,0,0,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_ERP,0,1,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_ERP,0,2,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_ERP,1,0,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_ERP,1,1,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_ERP,1,2,ESTIMABLE,20,9,9,9,9,True,True
EEGConformer,OpenBMI_ERP,2,0,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_ERP,2,1,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_ERP,2,2,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_ERP,3,0,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_ERP,3,1,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_ERP,3,2,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_ERP,4,0,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_ERP,4,1,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_ERP,4,2,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_SSVEP,0,0,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_SSVEP,0,1,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_SSVEP,0,2,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_SSVEP,1,0,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_SSVEP,1,1,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,OpenBMI_SSVEP,1,2,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_SSVEP,2,0,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_SSVEP,2,1,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_SSVEP,2,2,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_SSVEP,3,0,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_SSVEP,3,1,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_SSVEP,3,2,ESTIMABLE,20,7,7,7,7,True,True
EEGConformer,OpenBMI_SSVEP,4,0,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,OpenBMI_SSVEP,4,1,ESTIMABLE,20,8,8,8,8,True,True
EEGConformer,OpenBMI_SSVEP,4,2,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,WBCIC_MI,0,0,ESTIMABLE,20,2,2,2,2,True,True
EEGConformer,WBCIC_MI,0,1,ESTIMABLE,20,4,4,4,4,True,True
EEGConformer,WBCIC_MI,0,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
EEGConformer,WBCIC_MI,1,0,ESTIMABLE,20,2,2,2,2,True,True
EEGConformer,WBCIC_MI,1,1,ESTIMABLE,20,2,2,2,2,True,True
EEGConformer,WBCIC_MI,1,2,ESTIMABLE,20,1,1,1,1,True,True
EEGConformer,WBCIC_MI,2,0,ESTIMABLE,20,2,2,2,2,True,True
EEGConformer,WBCIC_MI,2,1,ESTIMABLE,20,2,2,2,2,True,True
EEGConformer,WBCIC_MI,2,2,ESTIMABLE,20,2,2,2,2,True,True
EEGConformer,WBCIC_MI,3,0,ESTIMABLE,20,5,5,5,5,True,True
EEGConformer,WBCIC_MI,3,1,ESTIMABLE,20,2,2,2,2,True,True
EEGConformer,WBCIC_MI,3,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
EEGConformer,WBCIC_MI,4,0,ESTIMABLE,20,1,1,1,1,True,True
EEGConformer,WBCIC_MI,4,1,ESTIMABLE,20,1,1,1,1,True,True
EEGConformer,WBCIC_MI,4,2,ESTIMABLE,20,1,1,1,1,True,True
FBCNet,OpenBMI_MI,0,0,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_MI,0,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,OpenBMI_MI,0,2,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_MI,1,0,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_MI,1,1,ESTIMABLE,20,3,3,3,3,True,True
FBCNet,OpenBMI_MI,1,2,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_MI,2,0,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_MI,2,1,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_MI,2,2,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_MI,3,0,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_MI,3,1,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_MI,3,2,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_MI,4,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,OpenBMI_MI,4,1,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_MI,4,2,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,0,0,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,0,1,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,0,2,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,1,0,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,1,1,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,1,2,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,2,0,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_ERP,2,1,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,2,2,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,3,0,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,3,1,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,3,2,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_ERP,4,0,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_ERP,4,1,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_ERP,4,2,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,0,0,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_SSVEP,0,1,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_SSVEP,0,2,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_SSVEP,1,0,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,1,1,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,1,2,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,2,0,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,2,1,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,2,2,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,3,0,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,3,1,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,3,2,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,4,0,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,OpenBMI_SSVEP,4,1,ESTIMABLE,20,8,8,8,8,True,True
FBCNet,OpenBMI_SSVEP,4,2,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,WBCIC_MI,0,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,0,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,0,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,1,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,1,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,1,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,2,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,2,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,2,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,3,0,ESTIMABLE,20,4,4,4,4,True,True
FBCNet,WBCIC_MI,3,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,3,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,4,0,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,4,1,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
FBCNet,WBCIC_MI,4,2,EMPTY_PU,20,0,0,0,0,NOT_ESTIMABLE,True
